ID,Name,Country,City,Link,
1,Winter Lantern,USA,North Carolina,https://winterlantern.bandcamp.com/
2,Ashen Chalice,Croatia,Karlovac,https://ashenchalice.bandcamp.com/
3,Dawn Ray’d,UK,Liverpool,https://dawnrayd.bandcamp.com/
4,Vociferatus,Brazil,Rio de Janeiro,https://vociferatus.bandcamp.com/
5,Ragana,USA,California,https://ragana.bandcamp.com/
6,Underdark,UK,Nottingham,https://underdark.bandcamp.com/
7,Inherits the Void,France,Clermont-Ferrand,https://inheritsthevoid.bandcamp.com/
8,Wretched Blessing,USA,Illinois,https://wretchedblessing.bandcamp.com/
9,Summoning,Austria,Vienna,https://summoning.bandcamp.com/
10,Human Abyss,Germany ,Berlin,https://humanabyss.bandcamp.com/
11,Feminazgul,USA,North Carolina,https://feminazgul.bandcamp.com/
12,Bull of Apis Bull of Bronze,USA,Colorado,https://bullofapisbullofbronze.bandcamp.com/
13,Lust Hag,USA,Minnesota,https://eleanorharper.bandcamp.com/
14,Ulva,Greece,Karditsa,https://ulva.bandcamp.com/
15,Gråt Strigoi,Scotland,Glasgow,https://gratstrigoi.bandcamp.com/
16,Dysthymia,USA,Massachusettes,https://dysthymiaband.bandcamp.com/
17,Nattfly,Sweden,,https://nattfly.bandcamp.com/
18,Bury Them and Keep Quiet,USA,New York,https://burythemandkeepquiet.bandcamp.com/
19,Arde,Germany ,Berlin,https://ardeberlin.bandcamp.com/
20,Rană,Germany,Hanover,https://ranacrust.bandcamp.com/
21,No Sun Rises,Germany ,Göttingen,https://no-sun-rises.bandcamp.com/
22,Seas of Winter,USA,,https://seasofwinter.bandcamp.com/
23,Seth,France,Bordeaux,https://innomineseth.bandcamp.com/
24,Order of the Wolf,Scotland,Fife,https://orderofthewolf.bandcamp.com/
25,Pure Wrath,Indonesia,West Java,https://purewrath.bandcamp.com/
26,Fukpig,UK,Birmingham,https://fukpig.bandcamp.com/
